"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"prop.M.15.25.F.15.25","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0.5 - 1 ]","1 [ 0.8 - 1 ]","1 [ 1 - 1 ]","1 [ 1 - 1 ]","1 [ 1 - 1 ]"
"prop.F.15.25.M.15.25","0 [ 0 - 0.333333333333333 ]","0 [ 0 - 0.4 ]","0 [ 0 - 0.4 ]","0 [ 0 - 0.333333333333333 ]","0.142857142857143 [ 0 - 0.4 ]","0.2 [ 0 - 0.4 ]","0.2 [ 0 - 0.375 ]","0.230769230769231 [ 0 - 0.4 ]","0.222222222222222 [ 0 - 0.4 ]","0.25 [ 0.0714285714285714 - 0.384615384615385 ]","0.230769230769231 [ 0.0833333333333333 - 0.375 ]","0.25 [ 0.117647058823529 - 0.366666666666667 ]","0.25 [ 0.117647058823529 - 0.357142857142857 ]","0.25 [ 0.12125 - 0.375 ]"
"prop.M.25.40.F.15.25","0.375 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0.666666666666667 - 1 ]","1 [ 0.714285714285714 - 1 ]","1 [ 0.777777777777778 - 1 ]","1 [ 0.8 - 1 ]","1 [ 0.833333333333333 - 1 ]","1 [ 0.833333333333333 - 1 ]","1 [ 0.857142857142857 - 1 ]","1 [ 0.846153846153846 - 1 ]","0.888888888888889 [ 0.8 - 1 ]"
"prop.F.25.40.M.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.40.50.F.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0.333333333333333 [ 0 - 1 ]","0.333333333333333 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.5 [ 0 - 1 ]","0.6 [ 0 - 1 ]","0.555555555555556 [ 0.25 - 1 ]"
"prop.F.40.50.M.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.15.25.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.F.15.25.M.25.40","0.125 [ 0 - 0.6 ]","0.333333333333333 [ 0 - 0.666666666666667 ]","0.4 [ 0 - 0.666666666666667 ]","0.5 [ 0 - 0.75 ]","0.5 [ 0 - 0.745833333333333 ]","0.5 [ 0.25 - 0.714285714285714 ]","0.5 [ 0.333333333333333 - 0.714285714285714 ]","0.538461538461538 [ 0.34313725490196 - 0.724747474747474 ]","0.555555555555556 [ 0.355042016806722 - 0.727272727272727 ]","0.555555555555556 [ 0.4 - 0.733333333333333 ]","0.571428571428571 [ 0.423076923076923 - 0.733333333333333 ]","0.5625 [ 0.428571428571429 - 0.705882352941177 ]","0.571428571428571 [ 0.428571428571429 - 0.705882352941177 ]","0.5625 [ 0.428571428571429 - 0.714285714285714 ]"
"prop.M.25.40.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.0909090909090909 ]","0 [ 0 - 0.0714285714285714 ]","0 [ 0 - 0.118055555555555 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.125 ]","0 [ 0 - 0.133333333333333 ]","0.105263157894737 [ 0 - 0.2 ]"
"prop.F.25.40.M.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.267857142857143 ]","0 [ 0 - 0.25 ]","0 [ 0 - 0.348484848484849 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]"
"prop.M.40.50.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.333333333333333 ]","0 [ 0 - 0.333333333333333 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0.111111111111111 [ 0 - 0.5 ]","0.2 [ 0 - 0.5 ]","0.333333333333333 [ 0 - 0.6 ]"
"prop.F.40.50.M.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.M.15.25.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.F.15.25.M.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.218253968253968 ]","0 [ 0 - 0.25 ]","0 [ 0 - 0.25 ]","0 [ 0 - 0.25 ]","0.0769230769230769 [ 0 - 0.25 ]","0.0769230769230769 [ 0 - 0.25 ]","0.111111111111111 [ 0 - 0.25 ]","0.111111111111111 [ 0 - 0.25 ]","0.112373737373737 [ 0 - 0.25 ]","0.125 [ 0 - 0.25 ]","0.142857142857143 [ 0 - 0.25 ]","0.133333333333333 [ 0 - 0.25 ]"
"prop.M.25.40.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.F.25.40.M.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.5 ]","0 [ 0 - 0.666666666666667 ]","0 [ 0 - 0.75 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0.2 [ 0 - 1 ]","0.333333333333333 [ 0 - 1 ]","0.333333333333333 [ 0 - 1 ]"
"prop.M.40.50.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"prop.F.40.50.M.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
